Material: Diamond
0.8	2.3983269386403
0.775	2.3996385590178
0.75	2.4010867104926
0.725	2.4026911503428
0.7	2.4044753690415
0.675	2.4064674762576
0.65	2.408701344181
0.625	2.4112180979742
0.6	2.4140680803068
0.575	2.4173134721431
0.55	2.421031835447
0.525	2.4253209721977
0.5	2.4303056968453
0.475	2.4361474462856
0.45	2.4430581927849
0.425	2.4513210486839
0.4	2.4613215807058
0.375	2.4735968383472
0.35	2.4889148263455
0.34	2.4961310357295
Data end
--------------------------------------------------
Material: G4_SILICON_DIOXIDE (Quartz)
0.8	1.4533172548587
0.775	1.4537624760176
0.75	1.454236737031
0.725	1.4547448344571
0.7	1.4552924662623
0.675	1.4558864451517
0.65	1.4565349736401
0.625	1.4572480023262
0.6	1.4580377016844
0.575	1.4589190908204
0.55	1.4599108864687
0.525	1.4610366660574
0.5	1.4623264867004
0.475	1.4638191793649
0.45	1.4655656654352
0.425	1.4676338609875
0.4	1.4701161185594
0.375	1.4731408609664
0.35	1.476891413496
0.34	1.4786513614953
Data end
--------------------------------------------------
Material: Corundum
0.8	1.7601325848483
0.775	1.7608230242392
0.75	1.7615599601399
0.725	1.7623509617285
0.7	1.7632050213109
0.675	1.7641328905542
0.65	1.7651475138713
0.625	1.7662645926726
0.6	1.7675033280755
0.575	1.7688874102318
0.55	1.7704463534923
0.525	1.772217324407
0.5	1.7742476846578
0.475	1.7765985918849
0.45	1.779350201081
0.425	1.7826093492573
0.4	1.7865212049974
0.375	1.7912874614465
0.35	1.79719575383
0.34	1.7999674091307
Data end
--------------------------------------------------
